words	syl_seq	syls
quasi-relieved	10010010100000	4
interconsonantal	1010010010100100	6
plew	1000	1
unfrictional	101000100010	4
fecula	100110	3
chromyl	1000100	2
compunction	10010001000	3
futurist	10100100	3
flipflopped	10001000000	2
trachelium	1001001010	4
prestrain	100100000	2
churchgoer	1000001010	3
jingal	100100	2
demonism	10100100	3
vaunt-courier	1000001000110	4
prereturn	100101000	3
weregild	10001000	2
vaporescence	101001010000	4
trumpet	1000100	2
bethmann-hollweg	1000100001000100	4
executorial	10101101010	6
gratifying	1000110100	4
nidicolous	1010011000	4
undisplayed	10100100000	3
buxton	100100	2
prosenchymatous	100010100011000	5
cyanic	101010	3
hulloa	100100	2
cookless	10001000	2
decentralize	101001000100	4
blockade-runner	100001000100100	4
curley	100100	2
machaon	1010010	3
ungrounded	1010000010	3
archytas	10100100	3
riis	1000	1
songkok	1000100	2
taal	1000	1
smectic	1000100	2
macmillan	100100100	3
microphytic	10100100010	4
slackly	1000010	2
threateningly	1000001010010	4
raveller	10010100	3
bazooka	1010010	3
astrea	101001	3
censuring	100100100	3
nonrepeller	10010100100	4
haushofer	100010100	3
ikon	1100	2
hollandaise	10010010000	3
unfailingly	10100010010	4
parasite	10011000	3
cluck	10000	1
mindanao	10010100	3
disconcert	1001001000	3
llich	11000	2
nonegregious	100110010000	4
uninsured	101010000	3
renotify	10101010	4
shittier	10001010	3
invalidism	1010100100	4
zygapophysial	1001011000110	6
yakut	10100	2
enlargingly	10100010010	4
nonloving	100100100	3
simp	1000	1
radeau	101000	2
turnkey	1000100	2
predischarging	10010010000100	4
self-indulgent	10000101001000	4
rets	1000	1
unfeudalize	10100100100	4
sullage	1001000	2
dislocating	10010100100	4
knuckly	1000010	2
ceni	1010	3
limassol	10100100	3
bassirilievi	100101010010	5
dunderpate	1001001000	3
nongranular	10010001100	4
venture	1001000	2
tetraplegia	10010100101	5
algiers	1010000	2
uncurried	101001000	3
thrombophlebitis	1000010100010100	5
interquarrelled	101001000100000	4
deliverance	10100101000	4
halakah	1010100	3
scallion	10001000	2
uncountenanced	10100010100000	4
tributarily	10001100110	5
unmulcted	101000010	3
castellammare	1001001001010	5
helmholtz	100010000	2
endoenzyme	1010101000	4
trephined	100100000	2
somerset	10010100	3
puzzolana	100101010	4
hinesville	1000010000	2
misseem	1001000	2
entourage	101001000	3
coronalled	1001100000	3
misdirection	100101001000	4
platinise	100011000	3
neuropsychiatric	1001010010010100	6
transmuted	1000010010	3
bardot	100100	2
predarkness	10010001000	3
retial	101010	3
luther	101000	2
nonanaemic	1001100100	4
semipictorial	1001100101010	6
harlequin	100101000	3
nonrefinement	1001010001000	4
talianised	1001001000	4
twenty	100010	2
nontannin	100100100	3
dollfaced	100010000	2
mesially	10101010	4
unadult	1011000	3
uninfolded	1010100010	4
cerebritis	1001100100	4
cymbalo	1001010	3
chasles	1000000	1
amphithecia	10100100101	5
constitutional	10010010100010	5
burl	1000	1
leu	101	2
arbitrarily	10101000110	5
chippy	100010	2
tusseh	100100	2
preexposed	1001010000	3
hygienics	101010100	4
mythologically	10001100110010	6
bilinguist	1010010000	3
belpre	100100	2
ladleful	10100100	3
protestation	100100101000	4
thegn	10000	1
machinate	100011000	3
typically	100110010	4
djeuner	1100100	3
gruffly	1000010	2
unintimidating	10101001100100	6
mirrorlike	1001001000	3
unrejective	10101001000	4
archean	1010010	3
deification	10110101000	5
planetaria	1000110011	5
khmer	10000	1
punctilious	10001001100	4
pareve	101010	3
trapezophoron	1000110001100	5
departmentalise	101000100100100	5
locution	10101000	3
heterogeneously	100101101010010	7
undyable	10101100	4
drudgery	10000101	3
spongeless	1000001000	2
nipponism	100100100	3
hypercalcaemia	10100100100101	6
egyptianised	110010001000	4
penni	10010	2
academic	10110010	4
unsensual	101001010	4
constable	100100100	3
unsegregating	1010010100100	5
mammality	100100110	4
malonyl	1001100	3
cotidal	1010010	3
unrecompensable	101001010001100	6
fieri	10101	3
caducei	1010101	4
governessy	1001010001	4
candytuft	100101000	3
hypersusceptible	1010010010010100	6
redemptory	1010001010	4
cultic	100100	2
half-annoyed	100001010000	3
militarize	1001101000	4
cheekless	100001000	2
costermonger	100100100100	4
crimpiest	100001100	3
inclusion	101001000	3
franchise	100010000	2
box	100	1
reactively	1010100010	4
unrayed	1010000	2
dogfight	10010000	2
ataxic	110010	3
yankeefy	10010010	3
malcontentedness	1001001000101000	5
charlie	1000100	2
lankiness	100011000	3
andamento	101010010	4
ailurophobic	101010100100	5
trimonthly	1001000010	3
agatharchides	1011000100100	5
aculeate	11010100	4
anaphylaxis	10110010010	5
hyperbole	101001010	4
downfallen	1000100010	3
august	101000	2
moisturise	1000100100	3
stalactitically	100010100110010	6
disfeatured	10010010000	3
broomcorn	100001000	2
curses	100010	2
nightly	1000010	2
oracon	110100	3
nonmystical	10010010100	4
quasi-physical	10010010001100	5
ayesha	110100	3
heliotactic	10101100100	5
unrealized	1010101000	4
diplo	10010	2
anodyne	1011000	3
quasi-zealous	1001001000100	4
unroot	101000	2
unemphatic	1010100010	4
ermine	101000	2
heterotactic	100101100100	5
contrapositive	10010010011000	5
muckrake	10001000	2
maternalistic	1010010010100	5
light-heartedness	10000010000101000	4
rizzio	100100	2
enigma	110010	3
non-bolshevism	10001001001000	4
treasuries	1000010100	3
microcephaly	101001000110	5
parodistic	1001100100	4
precontractual	10010010001010	5
epimerize	101100100	4
craggedness	10001001000	3
evangel	1100100	3
nasopalatine	101010011000	5
selaginella	10011010010	5
teasing	1000100	2
computation	10010101000	4
backhanded	1000100010	3
ophidian	11000110	4
killifish	100101000	3
kjlen	10100	2
ballistocardiogram	100100101001011000	7
spermiogenesis	10001011001100	6
apostrophia	11001001001	5
uncomplex	101001000	3
heliolater	1010101100	5
primrosed	100010000	2
platemark	100001000	2
actuary	1010100	3
farawayness	10011001000	4
thess	10000	1
platyhelminth	1000110010000	4
icon	1100	2
nonerotically	1001100110010	6
escondido	101001010	4
embraceries	10100010100	4
latitudinal	10011010100	5
dupion	101010	3
underslung	1010010000	3
nonaesthetical	10010010001100	5
croupous	10000100	2
thiocyanate	10011011000	5
etheria	1100101	4
unmemorialised	10101010101000	6
nonclose	10010000	2
missal	100100	2
self-kindness	1000010001000	3
subeditor	100101100	4
unijugate	110101000	4
chanceless	1000001000	2
winterfeeding	1001001000100	4
bonfire	1001000	2
mutinousness	101010001000	4
otoplastic	1101000100	4
anti-sweden	10100100100	4
electroluminescent	110010010101001000	7
mayence	1010000	2
nonfisherman	100100010100	4
biradial	10101010	4
caddoan	1001010	3
subsynod	10010010	3
minstrelsy	1001000010	3
crown	10000	1
incross	1010000	2
nonremuneration	100101010011000	6
reamass	1011000	3
cried	10000	1
phalanstery	10001010001	4
reshaved	10100000	2
myocarditis	10110010100	5
pamela	100110	3
confiscation	100100101000	4
ganglier	10010010	3
authorship	1010001000	3
housemaid	100001000	2
sooey	10010	2
axe-breaker	10001000010	3
relating	10100100	3
staunch	1000000	1
endowment	101001000	3
pitifully	100110010	4
milliliter	1001010100	4
codeclination	1010010101000	5
nonmalicious	100101010000	4
cesium	101010	3
ephemeralness	1100010101000	5
gunto	10010	2
nonrandom	100100100	3
jewellike	100101000	3
pig-headed	1000100010	3
collimator	1001010100	4
unsimultaneous	10101001010100	6
unassuredness	1010100101000	5
excavated	101010010	4
drypoint	10010000	2
dubai	10100	2
outstunt	10010000	2
farthingale	10010001000	3
haberdashery	100101000101	5
nausicaa	10010011	4
hippocras	100101000	3
antimonic	101010100	4
ritziest	10001100	3
circumnutating	10010010100100	5
hypertherm	1010010000	3
nn	10	1
prebreathed	10010000000	2
yorkville	100010000	2
aldine	101000	2
scotmata	10001010	3
switzerland	10000101000	3
raccoon	1001000	2
trinket	1000100	2
mule	1000	1
partite	1001000	2
satisfyingly	100101010010	5
euplastic	101000100	3
misnavigated	100100110010	5
cotyloidal	1001100100	4
breezy	100001	2
hallmarker	1000100010	3
oblivious	110001100	4
i/c	101	2
overexpend	1100101000	4
spifflicate	10001001000	3
cropper	1000100	2
gableended	1010010010	4
unrationalizing	101010001010100	6
well-accorded	1000010100010	4
ventriculography	1001000110010100	6
waggeries	100100100	3
seventy-fourth	10010100100000	4
effervescency	1010010010010	5
recombine	101001000	3
nit	100	1
mussel	100100	2
bewaring	10100100	3
unpiling	10100100	3
dardan	100100	2
ballastic	100100010	3
chloridized	10001010000	3
preshow	1001000	2
droughtier	1000000110	3
unequalise	1011000100	4
acephalous	1100011000	4
skate	10000	1
nontheatrical	1001001010100	5
das	100	2
refurnish	101001000	3
corrente	10010010	3
nonscriptural	1001000010010	4
aphelion	11001010	4
anglewing	101001000	3
silverer	10010010	3
taxability	1001100110	5
switz	10000	1
cave-in	1000010	2
pseudosuicidal	10001010110100	6
throughput	1000000100	2
peepul	100100	2
powerboat	100101000	3
raddle	100100	2
skillful	10000100	2
marvin	100100	2
headscarf	100010000	2
maypole	1001000	2
toxaemia	10010101	4
semiromantic	100110100100	5
diphtheritically	1000100100110010	6
amalek	101100	3
cunei	10101	3
recalcitration	10100101001000	5
baronetise	1001010100	4
inwrought	101000000	2
cultelli	10010010	3
hoorah	100100	2
panic	10010	2
untactical	1010010100	4
amazonian	101101010	5
ill-being	100010100	3
brutely	1000010	2
nodical	1001100	3
pyrenees	10011000	3
goblet	100100	2
puck	1000	1
bloodguiltiness	100001000011000	4
pronuba	1001010	3
hama	1010	2
villeurbanne	100001010000	3
tiddlywinks	10010010000	3
trichinosis	10000110100	4
unassaultable	1010100001100	5
baptismal	100100100	3
disengagedness	10010100101000	5
dogmatics	100100100	3
occidental	1010100100	4
butterball	1001001000	3
annunciatory	101001011010	6
light-footedness	1000001000101000	4
eisenach	10100100	3
blizzardy	100010001	3
preinvolvement	10010100001000	4
langeel	1001000	2
outspeed	10010000	2
overbusily	1100100110	5
mastopexy	100101001	4
spathous	10010000	2
iodometry	111001100	5
hyperventilation	1010010010101000	6
blackstone	1000010000	2
unparagraphed	1010011000000	4
inconspicuously	101001000110010	6
flameout	10000100	2
trigamist	100011000	3
underfeeling	101001000100	4
unentered	101010000	3
non-syrian	1000100110	4
dimerized	101001000	3
triradiate	1001010100	4
nestable	10001100	3
overspeculating	110010001100100	6
preceded	10010010	3
necessity	101001010	4
appetizingly	101010010010	5
adrienne	11001000	3
demur	10100	2
gntrix	111000	3
negatedness	10100101000	4
protanopic	1000110010	4
unsegregated	101001010010	5
tritium	1000110	3
collectibility	10010001100110	6
impassability	1010001100110	6
klavern	1000100	2
menstruate	1001000100	3
stitch	100000	1
cameroon	10011000	3
behmenist	100100100	3
generative	1001011000	4
noneducated	10010110010	5
chicha	100100	2
intaglio	10100010	3
brecciation	10001011000	4
overflavor	1100100100	4
munshi	100100	2
platonisation	1001010101000	5
fantasm	1001000	2
mat	100	1
vaal	1000	1
bamboozlement	1001001001000	4
carpus	100100	2
squawroot	100001000	2
shinplaster	10001000100	3
exclamatorily	1010001101010	6
mem	100	1
pre-raphaelite	10001000110100	5
gastrectomy	10010001010	4
preendeavor	10010100010	4
tapadera	10011001	4
whiggery	10001001	3
kirghizes	100100010	3
polycarpellary	10011001001001	6
reappraise	1010100000	3
syndicalist	10010100100	4
legerdemain	10010101000	4
rez-de-chausses	100010010000100	4
insistent	101000100	3
moutarde	10010000	2
rhythm	100000	1
caravanist	1001100100	4
maxwell	1001000	2
smithsonian	10000101010	4
intercatenated	10100100110010	6
houselling	1001001000	3
carpetweed	1001001000	3
supervaluing	101001001100	5
unbribed	10100000	2
stroboscopy	10001001010	4
interleaved	10100100000	3
luteinizing	10101010100	5
nonreadability	10010001100110	6
reliving	10100100	3
whats	10000	1
enolization	11010101000	5
lycaonia	10011101	5
nonprolificacy	10010010011010	6
humash	101000	2
prentice	10001000	2
triangulated	100101010010	5
systematization	100100110101000	6
imamate	1100100	3
demoralised	10100101000	4
curatorship	10101001000	4
perotic	1010010	3
unadorable	1011001100	5
winnebago	100101010	4
pentagonal	1001001100	4
bubo	1010	2
bourgeois	100010000	2
sphacelus	100001100	3
welshwoman	1000010010	3
preindisposed	1001010010000	4
untranquilizing	101000100010100	5
interoceptive	1010011001000	5
lido	1010	2
calcining	100100100	3
nonfunctioning	10010001000100	4
precentennial	1001001001010	5
leste	10010	2
augmented	100100010	3
lenity	100110	3
coryphaea	100110001	4
nonhydrophobic	10010100100100	5
nonpolitical	100101001100	5
superaccomplished	10100101001000000	5
ethylation	1001011000	4
homological	10101001100	5
baer	1000	1
personalistic	1001001010100	5
frisches	10000010	2
refractometry	1010001001100	5
gnome	10000	1
vehemently	1010100010	4
affrontedness	1010000101000	4
marvelously	10010010010	4
stop-go	1000010	2
inactivating	101010100100	5
underclad	101001000	3
ordinate	10101000	3
suaveness	100001000	2
premillennialized	10010010010101000	6
intertinge	1010010000	3
nonconformity	1001001000110	5
phytography	10010010100	4
bindweed	10001000	2
illusively	1010100010	4
holidayer	100110010	4
chryses	1000100	2
socko	10001	2
nonrefuelling	1001010101000	5
expansion	101001000	3
bachelor-at-arms	1000110001001000	5
conscious	100100000	2
gamboling	100100100	3
outblown	10010000	2
grecise	1001000	2
hyperhidrosis	1010010100100	5
reoxidize	101011000	4
undammed	10100000	2
daosta	101100	3
suborn	100100	2
beholden	10100010	3
filtre	100100	2
forcibleness	100101001000	4
hartshorn	100001000	2
advocatory	1010011010	5
tropeolin	100101100	4
undercause	1010010000	3
colonisable	10011001100	5
sleeken	1000010	2
neurotic	10010010	3
dinoflagellate	10011000101000	5
suspectedness	1001000101000	4
unoccluded	1010100010	4
unstarred	101000000	2
tressy	100001	2
subcircularity	10010010100110	6
holtville	100010000	2
catfall	1001000	2
stipes	100100	2
assorted	10100010	3
enmarble	10100100	3
lamellar	10100100	3
tramp	10000	1
aob	100	1
elinor	101100	3
extremis	10100100	3
deluc	10100	2
noncommencement	100100100001000	4
bestud	101000	2
phlegethontal	1000011000100	4
inasmuch	10101000	3
nonduplicating	10010100100100	5
triclinic	100100010	3
erodium	1101010	4
undecaying	1010100100	4
nauseatingly	100101010010	5
villainy	10010001	3
attrite	1010000	2
caruthersville	10100010010000	4
decreed	1010000	2
sandlot	1000100	2
nonabolition	100101101000	5
epicentrum	1011001000	4
prepracticed	100100010000	3
nonseparable	100100110100	5
chestier	10000110	3
jellyfishes	10010100010	4
guat	1000	1
brailowsky	1000100100	3
gyniatry	10101010	4
insouciance	10100101000	4
footlight	100010000	2
pharmacodynamics	1000101010100100	6
villanella	1001010010	4
heterothallic	1001011000100	5
into	1010	2
papable	1010100	3
avuncular	110010100	4
emaciation	1101011000	5
prologuising	100100010100	4
piala	10010	2
sibilantly	1001100010	4
sulfated	10010010	3
lichenism	101000100	3
horde	10000	1
trichinized	10000110000	3
quadruped	100010100	3
tangler	1001000	2
sanctum	1000100	2
adsorbent	101000100	3
cajolement	1010001000	3
conceptualising	100100101010100	6
bulfinch	10010000	2
altercate	101001000	3
gratefully	1000010010	3
subpellucidity	10010010100110	6
incommensurability	101001001010100110	8
hasdrubal	100100100	3
cacanapa	10101010	4
incompletion	101001001000	4
magnetostrictive	1001010100001000	5
prosciutto	1001000010	3
simplicius	1001001010	4
dilatator	101010100	4
chayote	1001010	3
revisionary	10101000101	5
sixmo	10010	2
self-director	1000010100100	4
crate	10000	1
motte	10000	1
unexploded	1010100010	4
matto	10010	2
nanga	10010	2
overmatch	110010000	3
homogeneousness	101010101001000	6
anthema	1010010	3
clean-handed	100000100010	3
introject	101001000	3
noncapitalist	1001001100100	5
astonishingness	101001001001000	5
wat	100	1
supergalaxy	10100100101	5
non-quakerish	1000100010100	4
colocynth	100110000	3
unplatted	101000100	3
jun	100	1
harmonizable	100101001100	5
encroachment	101000001000	3
noncolonial	10010101010	5
malcom	100100	2
isospondylous	1101000101000	5
ukiyo-e	1101001	4
nomography	1010010100	4
megarean	10100110	4
repunishment	101001001000	4
recomputed	1010010010	4
noncursive	1001001000	3
elate	11000	2
well-designing	10000101000100	4
nonappendant	100101000100	4
azerbaijanian	1100100101010	6
radula	100110	3
tellurometer	100101001100	5
prepartaking	100100100100	4
timeworn	10001000	2
antipapistical	10101010010100	6
imperil	1010010	3
impunitive	1010101000	4
enshrine	10100000	2
disconnected	100100100010	4
melitta	1010010	3
tensely	1000010	2
dozenth	1001000	2
skara	10010	2
heartbreakingly	100001000010010	4
milk-and-water	10000100010100	4
jaculated	100110010	4
chateau	1001000	2
hemolysin	101001100	4
alae	1100	2
lineolated	1001110010	5
redeal	101000	2
chondriosomal	1000100110100	5
radiolarian	10101100110	6
fraunhofer	1000010100	3
saucier	1001010	3
noninterdependence	100101001010001000	6
unministrative	10100101001000	5
rodenticide	10100101000	4
forego	100010	2
pullus	100100	2
callan	100100	2
pansy	10010	2
chromogen	100010100	3
misaddrest	1001010000	3
salpingectomy	1001001001010	5
crepitation	10001101000	4
hazen	10100	2
quadrireme	1000101000	3
qat	100	1
unservile	101001000	3
bombardment	10010001000	3
judiciary	101010101	5
subpericardiac	10010011001010	6
engrain	1010000	2
histotome	100101000	3
ethnology	100100110	4
carmelita	100101010	4
unstaved	10100000	2
galvanotropism	10010100101000	5
prehostile	1001001000	3
councillor	1000100100	3
gratifying	1001010100	4
uncalculating	1010010100100	5
laissez	1000100	2
manneristically	100100101010010	6
volt-coulomb	100001001000	3
postdiaphragmatic	10001011000010010	6
terrifier	100101010	4
skimp	10000	1
centerless	1001001000	3
herbal	100010	2
nonexpansion	100101001000	4
housekeeper	10000100010	3
albumenizing	101010100100	5
diphenylaminechlorarsine	101000101100010001001000	8
variegate	100101000	3
reichstag	100000100	2
bazookaman	1010010100	4
berton	100100	2
elkhorn	1001000	2
loller	100010	2
digitate	10011000	3
mischoosing	10010000100	3
tisane	101000	2
hypernormal	10100100100	4
maladaptive	10011001000	4
decarbonating	1010010010100	5
dissension	1001001000	3
unkenneled	1010010000	3
